abs_ssc,name,state,area
"SSC10496",Booral,New South Wales,140.65
"SSC10497",Boorga,New South Wales,253.18
"SSC10498",Boorganna,New South Wales,51.96
"SSC10499",Boorolong,New South Wales,271.14
"SSC10500",Boorook,New South Wales,433.96
"SSC10501",Boorooma,New South Wales,1.50
"SSC10502",Booroorban,New South Wales,1294.41
"SSC10503",Boorowa,New South Wales,754.78
"SSC10504",Bootawa,New South Wales,27.20
"SSC10505",Booti Booti,New South Wales,2.55
"SSC10506",Booyong,New South Wales,9.30
"SSC10507",Bora Ridge,New South Wales,79.74
"SSC10508",Borah Creek,New South Wales,135.91
"SSC10509",Borambola,New South Wales,147.23
"SSC10510",Border Ranges,New South Wales,94.24
"SSC10511",Boree,New South Wales,47.51
"SSC10512",Boree Creek,New South Wales,752.99
"SSC10513",Borenore,New South Wales,88.16
"SSC10514",Boro,New South Wales,60.70
"SSC10515",Bossley Park,New South Wales,4.54
"SSC10516",Bostobrick,New South Wales,66.03
"SSC10517",Botany,New South Wales,3.21
"SSC10518",Botobolar,New South Wales,96.61
"SSC10519",Bottle Creek,New South Wales,25.76
"SSC10520",Bouddi,New South Wales,6.98
"SSC10521",Bourbah,New South Wales,436.70
"SSC10522",Bourke,New South Wales,3882.79
"SSC10523",Bourkelands,New South Wales,2.10
"SSC10524",Bournda,New South Wales,82.44
"SSC10525",Bournewood,New South Wales,116.05
"SSC10526",Bow Bowing,New South Wales,0.76
"SSC10527",Bowan Park,New South Wales,64.19
"SSC10528",Bowen Mountain,New South Wales,20.02
"SSC10529",Bowenfels,New South Wales,21.83
"SSC10530",Bowling Alley Point,New South Wales,36.64
"SSC10531",Bowman,New South Wales,60.45
"SSC10532",Bowman Farm,New South Wales,46.56
"SSC10533",Bowmans Creek,New South Wales,68.23
"SSC10534",Bowna,New South Wales,116.82
"SSC10535",Bowning,New South Wales,292.68
"SSC10536",Bowral,New South Wales,37.18
"SSC10537",Bowraville,New South Wales,27.78
"SSC10538",Box Head,New South Wales,1.96
"SSC10539",Box Hill,New South Wales,14.08
"SSC10540",Box Ridge,New South Wales,290.02
"SSC10541",Boxers Creek,New South Wales,78.82
"SSC10542",Boydtown,New South Wales,9.35
"SSC10543",Bradbury,New South Wales,3.73
