school_id,name,suburb,state,postcode,sector,school_type,website,year_range,teaching_staff,non_teaching_staff,total_enrolments,girls_enrolments,boys_enrolments
42719,Avoca Public School,Avoca,NSW,2577,Government,Primary,http://www.avoca-p.schools.nsw.edu.au,K-6,1.4,0.9,16,11,5
42720,Colo Vale Public School,Colo Vale,NSW,2575,Government,Primary,http://www.colovale-p.schools.nsw.edu.au,K-6,12.6,2.4,219,111,108
42721,Balgownie Public School,Balgownie,NSW,2519,Government,Primary,http://www.balgownie-p.schools.nsw.edu.au,K-6,19.8,2.9,350,170,180
42722,Batemans Bay Public School,Surfside,NSW,2536,Government,Primary,http://www.batemansba-p.schools.nsw.edu.au,"U, P-6",39.3,10.3,587,290,297
42723,Bega Valley Public School,Bega,NSW,2550,Government,Primary,http://www.bega-p.schools.nsw.edu.au,"U, K-6",23.6,6.1,336,142,194
42724,Bemboka Public School,Bemboka,NSW,2550,Government,Primary,http://www.bemboka-p.schools.nsw.edu.au,K-6,3.7,1.4,52,22,30
42725,Berkeley Public School,Berkeley,NSW,2506,Government,Primary,http://www.berkeley-p.schools.nsw.edu.au,K-6,19.5,2.9,334,162,172
42726,Bermagui Public School,Bermagui,NSW,2546,Government,Primary,http://www.bermagui-p.schools.nsw.edu.au,K-6,10.7,2.9,168,88,80
42727,Berridale Public School,Berridale,NSW,2628,Government,Primary,http://www.berridale-p.schools.nsw.edu.au,K-6,3.8,1.4,63,36,27
42728,Berrima Public School,Berrima,NSW,2577,Government,Primary,http://www.berrima-p.schools.nsw.edu.au,K-6,7.3,1.7,142,77,65
42729,Berry Public School,Berry,NSW,2535,Government,Primary,http://www.berry-p.schools.nsw.edu.au,K-6,17.7,2.8,339,154,185
42731,Bigga Public School,Bigga,NSW,2583,Government,Primary,http://www.bigga-p.schools.nsw.edu.au/,K-6,1.3,1.1,11,6,5
42732,Binda Public School,Binda,NSW,2583,Government,Primary,http://www.binda-p.schools.nsw.edu.au,K-6,1.3,0.9,15,10,5
42733,Bodalla Public School,Bodalla,NSW,2545,Government,Primary,http://www.bodalla-p.schools.nsw.edu.au,K-6,4.8,1.5,78,36,42
42734,Bomaderry Public School,Bomaderry,NSW,2541,Government,Primary,http://www.bomaderry-p.schools.nsw.edu.au,"U, K-6",24.4,9.5,315,157,158
42735,Bombala Public School,Bombala,NSW,2632,Government,Primary,http://www.bombala-p.schools.nsw.edu.au,K-6,7.8,1.9,108,60,48
42736,Boorowa Central School,Boorowa,NSW,2586,Government,Combined,http://www.boorowa-c.schools.nsw.edu.au/sws/view/home.node,"U, K-12",23.2,7.6,216,97,119
42737,Bowning Public School,Bowning,NSW,2582,Government,Primary,http://www.bowning-p.schools.nsw.edu.au,K-6,2.6,0.9,27,15,12
42738,Bowral Public School,Bowral,NSW,2576,Government,Primary,http://www.bowral-p.schools.nsw.edu.au,K-6,30.9,4.1,601,297,304
42739,Braidwood Central School,Braidwood,NSW,2622,Government,Combined,http://www.braidwood-c.schools.nsw.edu.au,"U, K-12",33.4,8.2,361,177,184
